시군구,,,,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도,강릉시,견소동,,202,202,0,송정한신,59.8,202202,11,22700,13,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도,강릉시,견소동,,202,202,0,송정한신,59.8,202202,15,19300,13,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도,강릉시,견소동,,202,202,0,송정한신,84.945,202202,16,27800,15,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도,강릉시,견소동,,202,202,0,송정한신,59.8,202202,24,21000,12,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도,강릉시,견소동,,289,289,0,송정해변신도브래뉴아파트,59.99,202202,21,32000,11,2005,경강로2539번길 22,20220305,중개거래,강원 강릉시
강원도,강릉시,견소동,,289,289,0,송정해변신도브래뉴아파트,84.99,202202,23,24200,12,2005,경강로2539번길 22,,직거래,-
강원도,강릉시,교동,,1984,1984,0,강릉교동풍림아이원아파트,84.9964,202202,18,43500,17,2017,화부산로40번길 29,,중개거래,강원 강릉시
강원도,강릉시,교동,,797-1,797,1,강원,59.49,202202,5,9600,4,1985,화부산로131번길 6,,중개거래,강원 강릉시
강원도,강릉시,교동,,1750,1750,0,교동1주공,84.84,202202,5,40000,2,1999,가작로 78,,중개거래,강원 강릉시
강원도,강릉시,교동,,1750,1750,0,교동1주공,59.89,202202,22,24800,3,1999,가작로 78,,중개거래,강원 강릉시
강원도,강릉시,교동,,1766,1766,0,교동3주공,59.84,202202,4,30000,11,2002,교동광장로 138-12,,중개거래,강원 강릉시
강원도,강릉시,교동,,18-16,18,16,교동대림,118.273,202202,28,32700,3,1997,수리골길17번길 21,,중개거래,강원 강릉시
강원도,강릉시,교동,,332-2,332,2,대인맨션,78.96,202202,14,19000,8,1991,화부산로141번길 45,,직거래,-
강원도,강릉시,교동,,318-4,318,4,매화임대,48.6,202202,22,13000,3,1987,율곡로2968번길 26,,중개거래,강원 강릉시
강원도,강릉시,교동,,1773,1773,0,부영1,59.58,202202,5,20300,5,1999,정원로 53-4,,중개거래,강원 강릉시
강원도,강릉시,교동,,1773,1773,0,부영1,49.92,202202,9,17400,6,1999,정원로 53-4,,중개거래,강원 강릉시
강원도,강릉시,교동,,1773,1773,0,부영1,49.92,202202,18,17000,2,1999,정원로 53-4,,중개거래,강원 강릉시
강원도,강릉시,교동,,1762,1762,0,부영5,84.93,202202,11,38000,2,2001,교동광장로 163,,중개거래,강원 강릉시
강원도,강릉시,교동,,1762,1762,0,부영5,84.93,202202,15,42600,11,2001,교동광장로 163,,중개거래,강원 강릉시
강원도,강릉시,교동,,1762,1762,0,부영5,84.93,202202,15,42600,11,2001,교동광장로 163,,중개거래,강원 강릉시
강원도,강릉시,교동,,1034,1034,0,정아타워맨션,76.29,202202,28,14500,6,1992,화부산로 29,,중개거래,강원 강릉시
강원도,강릉시,교동,,828-19,828,19,현대,84.945,202202,11,18700,4,1992,옛강일길 41,,중개거래,강원 강릉시
강원도,강릉시,교동,,1759,1759,0,현대하이빌,122.74,202202,12,50000,11,1999,원대로128번길 14,,중개거래,강원 강릉시
강원도,강릉시,교동,,1759,1759,0,현대하이빌,122.74,202202,17,50000,2,1999,원대로128번길 14,,중개거래,강원 강릉시
강원도,강릉시,교동,,1759,1759,0,현대하이빌,99.96,202202,22,41500,3,1999,원대로128번길 14,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,616,616,0,강부2,41.18,202202,8,6500,2,1988,관대길 63,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,616,616,0,강부2,41.18,202202,9,5875,1,1988,관대길 63,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,616,616,0,강부2,41.18,202202,19,6700,3,1988,관대길 63,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,616,616,0,강부2,24.795,202202,22,3950,4,1988,관대길 63,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,27395,75,1,관동2,49.94,202202,19,8200,2,1992,남산초교길12번길 11,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,127,127,0,남산삼익,71.72,202202,16,16300,2,1993,남부로125번길 37,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,469,469,0,내곡동현대,84.865,202202,12,25700,18,1998,범일로 645,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,623,623,0,내곡주공,39.3,202202,15,9500,5,1989,관대길16번길 6,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,476,476,0,내곡한라,59.97,202202,8,17400,6,1997,강변로 114,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,476,476,0,내곡한라,59.97,202202,14,17300,3,1997,강변로 114,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,476,476,0,내곡한라,59.97,202202,26,17000,16,1997,강변로 114,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,476,476,0,내곡한라,59.97,202202,26,15500,1,1997,강변로 114,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,476,476,0,내곡한라,59.97,202202,26,21500,15,1997,강변로 114,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,136,136,0,삼익타워맨션,84.86,202202,13,14000,3,1993,남산초교길 65,,중개거래,강원 강릉시
강원도,강릉시,노암동,,605,605,0,노암3한라,39.762,202202,12,8150,3,2000,남부로125번길 7,,중개거래,강원 강릉시
강원도,강릉시,노암동,,605,605,0,노암3한라,74.64,202202,22,16000,2,2000,남부로125번길 7,,직거래,-
강원도,강릉시,노암동,,711,711,0,신화,59.944,202202,14,18000,10,1998,강변로 270,,직거래,-
강원도,강릉시,노암동,,711,711,0,신화,84.954,202202,24,28500,12,1998,강변로 270,,중개거래,강원 강릉시
강원도,강릉시,노암동,,844,844,0,양우내안애,84.4413,202202,14,33500,7,2009,강변로 328-8,,중개거래,강원 강릉시
강원도,강릉시,노암동,,844,844,0,양우내안애,84.4413,202202,27,33000,10,2009,강변로 328-8,,중개거래,강원 강릉시
강원도,강릉시,송정동,,1065,1065,0,강릉송정신원아침도시,84.9522,202202,5,44000,4,2020,경강로 2498,,중개거래,강원 강릉시
강원도,강릉시,송정동,,1065,1065,0,강릉송정신원아침도시,75.9722,202202,12,43500,3,2020,경강로 2498,,중개거래,강원 강릉시
강원도,강릉시,송정동,,1065,1065,0,강릉송정신원아침도시,75.9722,202202,24,47500,9,2020,경강로 2498,,중개거래,강원 강릉시
강원도,강릉시,송정동,,1063,1063,0,강릉송정한신더휴,84.961,202202,5,52750,14,2019,경강로 2448,,중개거래,강원 강릉시
강원도,강릉시,송정동,,1063,1063,0,강릉송정한신더휴,84.9955,202202,10,54300,17,2019,경강로 2448,,중개거래,강원 강릉시
강원도,강릉시,송정동,,14519,39,10,삼익비치맨션,84.544,202202,17,22500,2,1992,해안로 107,,중개거래,강원 강릉시
강원도,강릉시,연곡면,영진리,305-2,305,2,삼우그린,30.24,202202,3,5650,8,1999,연주로 132,,중개거래,강원 강릉시
강원도,강릉시,연곡면,영진리,305-2,305,2,삼우그린,30.24,202202,12,4500,1,1999,연주로 132,,중개거래,강원 강릉시
강원도,강릉시,연곡면,영진리,305-2,305,2,삼우그린,30.24,202202,12,4500,1,1999,연주로 132,20220216,중개거래,강원 강릉시
강원도,강릉시,연곡면,영진리,305-2,305,2,삼우그린,30.24,202202,15,6200,7,1999,연주로 132,,중개거래,강원 강릉시
강원도,강릉시,연곡면,영진리,380,380,0,영진부영3,84.9157,202202,10,23000,1,2008,영진3길 15,,직거래,-
강원도,강릉시,연곡면,영진리,381,381,0,영진코아루비치테라스,36.5333,202202,9,18100,13,2019,홍질목길 12,,중개거래,강원 강릉시
강원도,강릉시,연곡면,영진리,381,381,0,영진코아루비치테라스,29.9674,202202,12,12000,3,2019,홍질목길 12,,중개거래,강원 강릉시
강원도,강릉시,연곡면,영진리,381,381,0,영진코아루비치테라스,43.5566,202202,16,22500,14,2019,홍질목길 12,,중개거래,강원 강릉시
강원도,강릉시,유천동,,778,778,0,엘에이치선수촌8단지,84.77,202202,23,60000,8,2018,선수촌로 113,,중개거래,강원 강릉시
강원도,강릉시,유천동,,778,778,0,엘에이치선수촌8단지,74.88,202202,24,48000,16,2018,선수촌로 113,,중개거래,강원 강릉시
강원도,강릉시,입암동,,711,711,0,강릉더샵,84.94,202202,24,37750,11,2014,입암로29번길 11,,직거래,-
강원도,강릉시,입암동,,321,321,0,강릉입암동금호어울림,84.96,202202,7,36000,10,2007,성덕로 328-15,,중개거래,강원 강릉시
강원도,강릉시,입암동,,321,321,0,강릉입암동금호어울림,84.77,202202,10,37000,15,2007,성덕로 328-15,,직거래,-
강원도,강릉시,입암동,,321,321,0,강릉입암동금호어울림,84.77,202202,24,37500,8,2007,성덕로 328-15,,중개거래,강원 강릉시
강원도,강릉시,입암동,,33604,92,1,녹원,81.91,202202,15,16800,7,1992,월대산로 57,,중개거래,강원 강릉시
강원도,강릉시,입암동,,506-9,506,9,대인3,59.685,202202,28,9500,12,1993,강변로410번길 27,,중개거래,강원 강릉시
강원도,강릉시,입암동,,543-3,543,3,에버그린,59.85,202202,10,15000,6,2000,강변로440번길 30,,중개거래,강원 강릉시
강원도,강릉시,입암동,,543-3,543,3,에버그린,59.85,202202,15,15000,7,2000,강변로440번길 30,,중개거래,강원 강릉시
강원도,강릉시,입암동,,32994,90,5,은하,39.85,202202,24,5900,5,2001,월대산로 47,,직거래,-
강원도,강릉시,입암동,,210,210,0,이안강릉타운,84.7,202202,11,34000,12,2006,성덕로 316-22,,중개거래,강원 강릉시
강원도,강릉시,입암동,,210,210,0,이안강릉타운,84.7,202202,14,34200,6,2006,성덕로 316-22,,중개거래,강원 강릉시
강원도,강릉시,입암동,,210,210,0,이안강릉타운,84.7,202202,19,32800,3,2006,성덕로 316-22,,중개거래,강원 강릉시
강원도,강릉시,입암동,,210,210,0,이안강릉타운,84.7,202202,25,34200,8,2006,성덕로 316-22,,중개거래,강원 강릉시
강원도,강릉시,입암동,,685,685,0,입암4주공,59.8,202202,10,16800,13,1996,성덕포남로 89,,중개거래,강원 강릉시
강원도,강릉시,입암동,,685,685,0,입암4주공,59.8,202202,24,15500,3,1996,성덕포남로 89,,중개거래,강원 강릉시
강원도,강릉시,입암동,,685,685,0,입암5주공,49.97,202202,7,12800,3,1996,성덕포남로 89-17,,중개거래,강원 강릉시
강원도,강릉시,입암동,,685,685,0,입암5주공,49.97,202202,8,13000,12,1996,성덕포남로 89-17,,중개거래,강원 강릉시
강원도,강릉시,입암동,,685,685,0,입암5주공,49.97,202202,11,12900,11,1996,성덕포남로 89-17,,중개거래,강원 강릉시
강원도,강릉시,입암동,,685,685,0,입암5주공,49.97,202202,11,13500,5,1996,성덕포남로 89-17,,직거래,-
강원도,강릉시,입암동,,685,685,0,입암5주공,49.97,202202,12,13300,7,1996,성덕포남로 89-17,,직거래,-
강원도,강릉시,입암동,,685,685,0,입암5주공,49.97,202202,19,13300,5,1996,성덕포남로 89-17,,중개거래,강원 강릉시
