시군구,,,,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도,강릉시,견소동,,202,202,0,송정한신,59.8,202203,7,18000,3,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도,강릉시,견소동,,202,202,0,송정한신,59.8,202203,8,21000,8,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도,강릉시,견소동,,289,289,0,송정해변신도브래뉴아파트,84.99,202203,14,33500,1,2005,경강로2539번길 22,,중개거래,강원 강릉시
강원도,강릉시,교동,,1983,1983,0,강릉교동롯데캐슬2단지,118.0686,202203,2,53500,13,2009,화부산로111번길 24,,중개거래,강원 강릉시
강원도,강릉시,교동,,1750,1750,0,교동1주공,84.84,202203,11,34900,8,1999,가작로 78,,중개거래,강원 강릉시
강원도,강릉시,교동,,1766,1766,0,교동3주공,59.79,202203,1,27800,4,2002,교동광장로 138-12,,중개거래,강원 강릉시
강원도,강릉시,교동,,357,357,0,교동이-편한세상,123.7566,202203,7,51000,15,2006,종합운동장길 92,,중개거래,강원 강릉시
강원도,강릉시,교동,,828-19,828,19,현대,84.945,202203,3,18700,4,1992,옛강일길 41,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,616,616,0,강부2,24.795,202203,10,4400,3,1988,관대길 63,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,127,127,0,남산삼익,84.48,202203,7,25500,5,1993,남부로125번길 37,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,469,469,0,내곡동현대,84.99,202203,14,32000,15,1998,범일로 645,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,469,469,0,내곡동현대,84.99,202203,14,26400,1,1998,범일로 645,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,27485,75,4,내곡시영,39.3,202203,11,6100,5,1990,남산초교길 22,,중개거래,강원 강릉시
강원도,강릉시,내곡동,,476,476,0,내곡한라,59.97,202203,2,16750,13,1997,강변로 114,,중개거래,강원 강릉시
강원도,강릉시,노암동,,610,610,0,노암남산현대,59.84,202203,7,18000,4,1998,남부로125번길 11,,중개거래,강원 강릉시
강원도,강릉시,노암동,,627-2,627,2,대림임대,48.32,202203,11,7700,4,1989,임영로25번길 13,,중개거래,강원 강릉시
강원도,강릉시,노암동,,661,661,0,범아,52.7,202203,5,5000,4,1980,임영로25번길 3-6,,중개거래,강원 강릉시
강원도,강릉시,노암동,,711,711,0,신화,84.954,202203,14,24750,4,1998,강변로 270,,중개거래,강원 강릉시
