시군구,,,,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도,강릉시,견소동,,202,202,0,송정한신,59.8,201905,2,10600,7,1997,경강로2539번길 8,,-,-
강원도,강릉시,견소동,,202,202,0,송정한신,59.8,201905,18,9900,3,1997,경강로2539번길 8,,-,-
강원도,강릉시,견소동,,289,289,0,송정해변신도브래뉴아파트,59.99,201905,15,16000,13,2005,경강로2539번길 22,,-,-
강원도,강릉시,교동,,1983,1983,0,강릉교동롯데캐슬2단지,84.9855,201905,13,28000,4,2009,화부산로111번길 24,,-,-
강원도,강릉시,교동,,1983,1983,0,강릉교동롯데캐슬2단지,84.9855,201905,30,29700,3,2009,화부산로111번길 24,,-,-
강원도,강릉시,교동,,1984,1984,0,강릉교동풍림아이원아파트,84.9964,201905,25,28000,10,2017,화부산로40번길 29,,-,-
강원도,강릉시,교동,,1750,1750,0,교동1주공,59.89,201905,2,17000,14,1999,가작로 78,,-,-
강원도,강릉시,교동,,1750,1750,0,교동1주공,59.89,201905,28,15000,7,1999,가작로 78,,-,-
강원도,강릉시,교동,,1750,1750,0,교동1주공,84.84,201905,31,18900,8,1999,가작로 78,,-,-
강원도,강릉시,교동,,1767,1767,0,교동2현대,99.98,201905,1,26200,3,1999,교동광장로 138-15,,-,-
강원도,강릉시,교동,,1767,1767,0,교동2현대,99.98,201905,18,25700,4,1999,교동광장로 138-15,,-,-
강원도,강릉시,교동,,1766,1766,0,교동3주공,59.74,201905,1,15100,2,2002,교동광장로 138-12,,-,-
강원도,강릉시,교동,,1766,1766,0,교동3주공,59.86,201905,7,16200,1,2002,교동광장로 138-12,,-,-
강원도,강릉시,교동,,1766,1766,0,교동3주공,59.74,201905,18,16950,8,2002,교동광장로 138-12,,-,-
강원도,강릉시,교동,,1766,1766,0,교동3주공,59.74,201905,27,16000,11,2002,교동광장로 138-12,,-,-
강원도,강릉시,교동,,18-16,18,16,교동대림,59.84,201905,11,11500,12,1997,수리골길17번길 21,,-,-
강원도,강릉시,교동,,18-16,18,16,교동대림,84.98,201905,30,12600,10,1997,수리골길17번길 21,,-,-
강원도,강릉시,교동,,18-16,18,16,교동대림,118.273,201905,30,15000,2,1997,수리골길17번길 21,,-,-
강원도,강릉시,교동,,357,357,0,교동이-편한세상,123.7566,201905,13,32000,14,2006,종합운동장길 92,,-,-
강원도,강릉시,교동,,834,834,0,덕진,40.86,201905,14,5450,1,1988,옛강일길 28,,-,-
강원도,강릉시,교동,,1780,1780,0,부영3차,84.93,201905,8,17200,3,2001,하슬라로 124,,-,-
강원도,강릉시,교동,,1780,1780,0,부영3차,84.93,201905,9,19400,5,2001,하슬라로 124,,-,-
강원도,강릉시,교동,,1780,1780,0,부영3차,84.93,201905,11,18000,9,2001,하슬라로 124,,-,-
강원도,강릉시,교동,,1780,1780,0,부영3차,84.93,201905,22,20500,12,2001,하슬라로 124,,-,-
강원도,강릉시,교동,,1762,1762,0,부영5,84.93,201905,31,20300,6,2001,교동광장로 163,,-,-
강원도,강릉시,교동,,1775,1775,0,부영6,84.9763,201905,10,19000,15,2003,정원로 53-9,,-,-
강원도,강릉시,교동,,1775,1775,0,부영6,59.987,201905,18,16400,5,2003,정원로 53-9,,-,-
강원도,강릉시,교동,,334,334,0,서일맨션,84.81,201905,23,8800,5,1989,화부산로141번길 48,,-,-
강원도,강릉시,교동,,13575,37,3,예성그린1,33.9,201905,9,3800,1,1995,가작로252번길 22,,-,-
강원도,강릉시,교동,,16803,46,1,한신,84.98,201905,9,14700,14,1997,명륜로 95-7,,-,-
강원도,강릉시,교동,,1759,1759,0,현대하이빌,122.74,201905,27,27900,5,1999,원대로128번길 14,,-,-
강원도,강릉시,내곡동,,127,127,0,남산삼익,58.74,201905,24,7000,6,1993,남부로125번길 37,,-,-
강원도,강릉시,내곡동,,469,469,0,내곡동현대,84.99,201905,28,16400,5,1998,범일로 645,,-,-
강원도,강릉시,내곡동,,469,469,0,내곡동현대,59.84,201905,28,12400,11,1998,범일로 645,,-,-
강원도,강릉시,내곡동,,623,623,0,내곡주공,46.68,201905,1,6400,5,1989,관대길16번길 6,,-,-
강원도,강릉시,내곡동,,623,623,0,내곡주공,46.68,201905,10,6600,2,1989,관대길16번길 6,,-,-
강원도,강릉시,내곡동,,476,476,0,내곡한라,59.97,201905,17,10500,1,1997,강변로 114,,-,-
강원도,강릉시,내곡동,,476,476,0,내곡한라,59.97,201905,23,12000,11,1997,강변로 114,,-,-
강원도,강릉시,내곡동,,136,136,0,삼익타워맨션,84.86,201905,11,10500,3,1993,남산초교길 65,,-,-
강원도,강릉시,내곡동,,136,136,0,삼익타워맨션,84.86,201905,24,11700,3,1993,남산초교길 65,,-,-
강원도,강릉시,노암동,,835,835,0,노암2주공,49.22,201905,24,7500,3,1984,노가니남길 25,,-,-
강원도,강릉시,노암동,,605,605,0,노암3한라,39.762,201905,4,7800,7,2000,남부로125번길 7,,-,-
강원도,강릉시,노암동,,605,605,0,노암3한라,74.64,201905,8,11900,14,2000,남부로125번길 7,,-,-
강원도,강릉시,노암동,,605,605,0,노암3한라,39.762,201905,20,7650,12,2000,남부로125번길 7,,-,-
강원도,강릉시,노암동,,605,605,0,노암3한라,59.994,201905,22,11000,5,2000,남부로125번길 7,,-,-
강원도,강릉시,노암동,,605,605,0,노암3한라,39.762,201905,31,7550,13,2000,남부로125번길 7,,-,-
강원도,강릉시,노암동,,610,610,0,노암남산현대,59.84,201905,14,10300,7,1998,남부로125번길 11,,-,-
강원도,강릉시,노암동,,390,390,0,노암한라,84.99,201905,20,13200,12,1994,노암길42번길 28,,-,-
강원도,강릉시,노암동,,390,390,0,노암한라,84.99,201905,24,14300,8,1994,노암길42번길 28,,-,-
강원도,강릉시,노암동,,661,661,0,범아,71.66,201905,29,6400,1,1980,임영로25번길 3-6,,-,-
강원도,강릉시,노암동,,711,711,0,신화,84.954,201905,3,13500,1,1998,강변로 270,,-,-
강원도,강릉시,노암동,,711,711,0,신화,84.954,201905,18,13800,12,1998,강변로 270,,-,-
강원도,강릉시,노암동,,711,711,0,신화,44.64,201905,24,8800,3,1998,강변로 270,,-,-
강원도,강릉시,노암동,,711,711,0,신화,59.944,201905,27,11600,11,1998,강변로 270,,-,-
강원도,강릉시,노암동,,844,844,0,양우내안애,84.4413,201905,24,20200,7,2009,강변로 328-8,,-,-
강원도,강릉시,노암동,,844,844,0,양우내안애,59.7216,201905,25,16700,8,2009,강변로 328-8,,-,-
강원도,강릉시,노암동,,245-5,245,5,현대,84.945,201905,21,10400,1,1992,율곡로 2733,,-,-
강원도,강릉시,성남동,,110-3,110,3,동호회관,80.475,201905,30,8000,3,1987,금성로45번길 12,,-,-
강원도,강릉시,송정동,,940-3,940,3,고려2,84.97,201905,2,11000,2,1991,남강초교2길 43,,-,-
강원도,강릉시,송정동,,940,940,0,삼우은성,72.86,201905,1,10400,2,1992,남강초교1길 55,,-,-
강원도,강릉시,송정동,,940,940,0,삼우은성,72.86,201905,3,8900,1,1992,남강초교1길 55,,-,-
강원도,강릉시,송정동,,940,940,0,삼우은성,72.86,201905,6,11850,3,1992,남강초교1길 55,,-,-
강원도,강릉시,송정동,,940,940,0,삼우은성,72.86,201905,22,13200,7,1992,남강초교1길 55,,-,-
강원도,강릉시,송정동,,940,940,0,삼우은성,72.86,201905,30,13200,4,1992,남강초교1길 55,,-,-
강원도,강릉시,연곡면,영진리,305-2,305,2,삼우그린,30.24,201905,8,4500,6,1999,연주로 132,,-,-
강원도,강릉시,연곡면,영진리,12,12,0,영진부영2,59.987,201905,9,14000,8,2005,영진3길 43,,-,-
강원도,강릉시,연곡면,영진리,12,12,0,영진부영2,59.987,201905,16,13800,8,2005,영진3길 43,,-,-
강원도,강릉시,연곡면,영진리,12,12,0,영진부영2,59.987,201905,22,13500,4,2005,영진3길 43,,-,-
강원도,강릉시,연곡면,영진리,12,12,0,영진부영2,84.8923,201905,27,19800,6,2005,영진3길 43,,-,-
강원도,강릉시,입암동,,503-2,503,2,강동2,59.64,201905,3,6000,6,1991,강변로410번길 37,,-,-
강원도,강릉시,입암동,,711,711,0,강릉더샵,84.94,201905,9,22500,12,2014,입암로29번길 11,,-,-
강원도,강릉시,입암동,,711,711,0,강릉더샵,74.76,201905,15,20000,7,2014,입암로29번길 11,,-,-
강원도,강릉시,입암동,,711,711,0,강릉더샵,84.94,201905,28,21900,7,2014,입암로29번길 11,,-,-
강원도,강릉시,입암동,,321,321,0,강릉입암동금호어울림,84.77,201905,22,21300,15,2007,성덕로 328-15,,-,-
강원도,강릉시,입암동,,321,321,0,강릉입암동금호어울림,157.22,201905,25,30000,7,2007,성덕로 328-15,,-,-
강원도,강릉시,입암동,,321,321,0,강릉입암동금호어울림,84.96,201905,27,22000,15,2007,성덕로 328-15,,-,-
강원도,강릉시,입암동,,321,321,0,강릉입암동금호어울림,84.77,201905,30,23500,8,2007,성덕로 328-15,,-,-
강원도,강릉시,입암동,,506-9,506,9,대인3,59.685,201905,3,7700,2,1993,강변로410번길 27,,-,-
강원도,강릉시,입암동,,543-3,543,3,에버그린,59.85,201905,17,8700,8,2000,강변로440번길 30,,-,-
강원도,강릉시,입암동,,543-3,543,3,에버그린,59.85,201905,20,8700,6,2000,강변로440번길 30,,-,-
강원도,강릉시,입암동,,560,560,0,우진,51.78,201905,17,6100,2,1991,월대산로 13-6,,-,-
강원도,강릉시,입암동,,210,210,0,이안강릉타운,84.7,201905,3,18000,13,2006,성덕로 316-22,,-,-
강원도,강릉시,입암동,,210,210,0,이안강릉타운,122.72,201905,10,23500,3,2006,성덕로 316-22,,-,-
강원도,강릉시,입암동,,210,210,0,이안강릉타운,84.7,201905,10,19000,8,2006,성덕로 316-22,,-,-
강원도,강릉시,입암동,,210,210,0,이안강릉타운,84.7,201905,27,19300,6,2006,성덕로 316-22,,-,-
강원도,강릉시,입암동,,641,641,0,입암1주공,39.72,201905,9,5700,1,1986,강변로 364,,-,-
강원도,강릉시,입암동,,641,641,0,입암1주공,39.72,201905,17,6000,2,1986,강변로 364,,-,-
강원도,강릉시,입암동,,641,641,0,입암1주공,39.72,201905,27,6050,4,1986,강변로 364,,-,-
강원도,강릉시,입암동,,49,49,0,입암2주공,39.69,201905,3,5000,2,1990,강변로 508,,-,-
강원도,강릉시,입암동,,685,685,0,입암4주공,59.8,201905,15,10800,3,1996,성덕포남로 89,,-,-
강원도,강릉시,입암동,,685,685,0,입암5주공,39.99,201905,17,7000,10,1996,성덕포남로 89-17,,-,-
강원도,강릉시,입암동,,709-1,709,1,입암6주공,59.99,201905,1,8900,11,1998,성덕포남로 39,,-,-
강원도,강릉시,입암동,,709-1,709,1,입암6주공,59.99,201905,8,8700,4,1998,성덕포남로 39,,-,-
강원도,강릉시,입암동,,709-1,709,1,입암6주공,49.62,201905,11,9000,6,1998,성덕포남로 39,,-,-
강원도,강릉시,입암동,,709-1,709,1,입암6주공,59.99,201905,17,10000,13,1998,성덕포남로 39,,-,-
강원도,강릉시,입암동,,709-1,709,1,입암6주공,59.99,201905,22,9800,13,1998,성덕포남로 39,,-,-
강원도,강릉시,입암동,,709-1,709,1,입암6주공,59.99,201905,22,9800,10,1998,성덕포남로 39,,-,-
강원도,강릉시,입암동,,709-1,709,1,입암6주공,59.99,201905,29,9500,7,1998,성덕포남로 39,,-,-
강원도,강릉시,입암동,,709-1,709,1,입암6주공,59.99,201905,29,8950,15,1998,성덕포남로 39,,-,-
강원도,강릉시,입암동,,440,440,0,입암현대,59.956,201905,16,11800,13,1998,용지로 19,,-,-
강원도,강릉시,입암동,,440,440,0,입암현대,59.824,201905,21,12000,8,1998,용지로 19,,-,-
강원도,강릉시,입암동,,440,440,0,입암현대,84.904,201905,28,15700,4,1998,용지로 19,,-,-
강원도,강릉시,입암동,,506-5,506,5,태평양임대,34.722,201905,2,5100,11,1998,강변로410번길 31-5,,-,-
강원도,강릉시,저동,,44655,4,4,경포현대,59.785,201905,3,12000,3,1996,경포로463번안길 14,,-,-
강원도,강릉시,저동,,44655,4,4,경포현대,84.915,201905,14,18900,3,1996,경포로463번안길 14,,-,-
강원도,강릉시,저동,,44655,4,4,경포현대,84.915,201905,17,20000,2,1996,경포로463번안길 14,,-,-
강원도,강릉시,저동,,44655,4,4,경포현대,59.785,201905,17,13200,5,1996,경포로463번안길 14,,-,-
강원도,강릉시,저동,,44655,4,4,경포현대,59.785,201905,23,14200,5,1996,경포로463번안길 14,,-,-
강원도,강릉시,저동,,44655,4,4,경포현대,84.915,201905,28,18000,1,1996,경포로463번안길 14,,-,-
강원도,강릉시,주문진읍,교항리,1166-1,1166,1,우신그린피아임대,49.86,201905,8,6500,11,1999,보리골길 26,,-,-
강원도,강릉시,주문진읍,교항리,1166-1,1166,1,우신그린피아임대,59.98,201905,10,8200,8,1999,보리골길 26,,-,-
강원도,강릉시,주문진읍,교항리,1166-1,1166,1,우신그린피아임대,59.98,201905,15,8400,5,1999,보리골길 26,,-,-
강원도,강릉시,주문진읍,교항리,1166-1,1166,1,우신그린피아임대,49.86,201905,28,7150,7,1999,보리골길 26,,-,-
강원도,강릉시,주문진읍,주문리,329-19,329,19,강릉주문진풍림아이원하버뷰,59.77,201905,20,17480,8,2019,항구로 40,,-,-
강원도,강릉시,주문진읍,주문리,378-2,378,2,대일,79.715,201905,28,3900,-1,1994,불당골길 7-3,,-,-
강원도,강릉시,주문진읍,주문리,61,61,0,주문진라일플로리스4차,23.662,201905,8,9000,12,2017,오리나루2길 25,,-,-
강원도,강릉시,초당동,,149-1,149,1,동부,84.98,201905,7,17000,5,1997,연당길 75,,-,-
강원도,강릉시,초당동,,143,143,0,우성,84.77,201905,16,15000,14,1997,연당길 67-15,,-,-
강원도,강릉시,초당동,,181,181,0,유화2,78.167,201905,25,11300,9,1994,연당길 94-6,,-,-
강원도,강릉시,초당동,,135-1,135,1,이화해변아파트(B~D동),29.82,201905,24,4100,2,1988,초당원길 21,,-,-
강원도,강릉시,초당동,,135-1,135,1,이화해변아파트(B~D동),29.82,201905,27,4000,3,1988,초당원길 21,,-,-
강원도,강릉시,포남동,,1183-4,1183,4,강릉7(1183-4),81.28,201905,20,12400,5,1990,경강로2301번길 22,,-,-
강원도,강릉시,포남동,,1005-252,1005,252,강릉임대,57.3,201905,16,8500,1,1986,경강로2246번길 8,,-,-
강원도,강릉시,포남동,,1005-249,1005,249,강부1,55.41,201905,2,6700,1,1987,경강로2256번길 8,,-,-
강원도,강릉시,포남동,,1150-3,1150,3,강부3,59.677,201905,8,7350,3,1989,남구길10번길 35,,-,-
강원도,강릉시,포남동,,1150-3,1150,3,강부3,59.677,201905,11,7400,4,1989,남구길10번길 35,,-,-
